interaction_name,num_edges,mean_contact_distance_m,ncs,mean_penetration_m
interaction_01,4,0.02289871289394796,0.9988085714285714,0.004537209868431091
interaction_02,5,0.02436018828302622,0.9947042857142857,0.008542262017726898
interaction_03,4,0.02161970315501094,0.9979657142857142,0.004472618922591209
interaction_04,3,0.017948557001849014,0.9987457142857142,0.0030608000233769417
interaction_05,3,0.023713285724322002,0.9997671428571429,0.003375617554411292
interaction_06,3,0.018731561799844105,0.9995528571428571,0.003953573293983936
interaction_07,3,0.01964421197772026,0.9992828571428571,0.004114477429538965
interaction_08,3,0.019128823342422645,0.9982257142857143,0.006259750574827194
interaction_09,3,0.019906114786863327,0.9995357142857143,0.004785508383065462
interaction_10,4,0.021316600497812033,0.99942,0.005535355303436518
__mean__,35,0.02092677594628185,0.9986008571428572,0.0048637173371389505
