iter,total,corr,reproj,scale_reg,tz_reg,scale,tz
0,0.95997024,0.95997024,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000
1,0.92373478,0.92365271,0.08206983,0.00002500,0.00002500,1.00501263,0.00500000
2,0.88825667,0.88793296,0.32346436,0.00009996,0.00009989,1.01004815,0.00999431
3,0.85354710,0.85282981,0.71681899,0.00022478,0.00022437,1.01510549,0.01497893
4,0.81961834,0.81836301,1.25451207,0.00039929,0.00039799,1.02018332,0.01994975
5,0.78648293,0.78455299,1.92874014,0.00062329,0.00062013,1.02527988,0.02490250
6,0.75415140,0.75141823,2.73140955,0.00089647,0.00089000,1.03039384,0.02983280
7,0.72263366,0.71897697,3.65432882,0.00121850,0.00120660,1.03552341,0.03473615
8,0.69193894,0.68724662,4.68912935,0.00158895,0.00156879,1.04066682,0.03960791
9,0.66207504,0.65624386,5.82721567,0.00200735,0.00197521,1.04582226,0.04444338
10,0.63304806,0.62598318,7.06000090,0.00247313,0.00242435,1.05098796,0.04923773
11,0.60486442,0.59647983,8.37870979,0.00298567,0.00291449,1.05616176,0.05398605
12,0.57752836,0.56774688,9.77451038,0.00354426,0.00344374,1.06134164,0.05868337
13,0.55104357,0.53979689,11.23854160,0.00414813,0.00401001,1.06652534,0.06332464
14,0.52541167,0.51264048,12.76185989,0.00479642,0.00461106,1.07171071,0.06790476
15,0.50063246,0.48628601,14.33571148,0.00548821,0.00524445,1.07689559,0.07241858
16,0.47670603,0.46074286,15.95103073,0.00622249,0.00590760,1.08207750,0.07686093
17,0.45363060,0.43601781,17.59919357,0.00699817,0.00659777,1.08725381,0.08122664
18,0.43140218,0.41211560,19.27147102,0.00781410,0.00731205,1.09242213,0.08551051
19,0.41001561,0.38903964,20.95925522,0.00866905,0.00804742,1.09757996,0.08970739
20,0.38946483,0.36679229,22.65416718,0.00956171,0.00880072,1.10272455,0.09381214
21,0.36974245,0.34537461,24.34776878,0.01049070,0.00956869,1.10785317,0.09781966
22,0.35083896,0.32478493,26.03224564,0.01145455,0.01034797,1.11296308,0.10172496
23,0.33274373,0.30502039,27.69974136,0.01245176,0.01113512,1.11805153,0.10552309
24,0.31544521,0.28607720,29.34262848,0.01348074,0.01192666,1.12311554,0.10920924
25,0.29893032,0.26794943,30.95360756,0.01453982,0.01271903,1.12815225,0.11277869
26,0.28318399,0.25062901,32.52586746,0.01562729,0.01350870,1.13315880,0.11622691
27,0.26819086,0.23410706,34.05273438,0.01674139,0.01429208,1.13813221,0.11954950
28,0.25393391,0.21837302,35.52791595,0.01788028,0.01506566,1.14306951,0.12274227
29,0.24039495,0.20341428,36.94580460,0.01904210,0.01582595,1.14796770,0.12580122
30,0.22755538,0.18921793,38.30067062,0.02022491,0.01656951,1.15282369,0.12872259
31,0.21539450,0.17576817,39.58759689,0.02142676,0.01729301,1.15763474,0.13150288
32,0.20389211,0.16304936,40.80211258,0.02264565,0.01799323,1.16239750,0.13413884
33,0.19302556,0.15104298,41.94001770,0.02387957,0.01866708,1.16710949,0.13662751
34,0.18277295,0.13973068,42.99783707,0.02512647,0.01931162,1.17176747,0.13896626
35,0.17311087,0.12909231,43.97225189,0.02638430,0.01992410,1.17636883,0.14115275
36,0.16401608,0.11910742,44.86050797,0.02765097,0.02050195,1.18091059,0.14318500
37,0.15546460,0.10975379,45.66084290,0.02892443,0.02104281,1.18539000,0.14506139
38,0.14743221,0.10100927,46.37118149,0.03020261,0.02154455,1.18980443,0.14678062
39,0.13989435,0.09285040,46.99045563,0.03148346,0.02200529,1.19415140,0.14834180
40,0.13282689,0.08525373,47.51797485,0.03276495,0.02242339,1.19842827,0.14974441
41,0.12620550,0.07819521,47.95344543,0.03404507,0.02279747,1.20263267,0.15098830
42,0.12000576,0.07165024,48.29706573,0.03532186,0.02312641,1.20676243,0.15207371
43,0.11420404,0.06559434,48.54970169,0.03659339,0.02340939,1.21081531,0.15300128
44,0.10877648,0.06000273,48.71224594,0.03785779,0.02364583,1.21478951,0.15377201
45,0.10370039,0.05485136,48.78608322,0.03911324,0.02383543,1.21868289,0.15438728
46,0.09895314,0.05011548,48.77331543,0.04035798,0.02397816,1.22249389,0.15484881
47,0.09451268,0.04577100,48.67601395,0.04159035,0.02407423,1.22622108,0.15515873
48,0.09035809,0.04179444,48.49670792,0.04280872,0.02412413,1.22986293,0.15531945
49,0.08646899,0.03816257,48.23828506,0.04401157,0.02412857,1.23341823,0.15533374
50,0.08282580,0.03485266,47.90384674,0.04519748,0.02408849,1.23688602,0.15520468
51,0.07940967,0.03184272,47.49656677,0.04636510,0.02400504,1.24026561,0.15493561
52,0.07620303,0.02911142,47.02021790,0.04751318,0.02387958,1.24355626,0.15453018
53,0.07318912,0.02663854,46.47822952,0.04864059,0.02371362,1.24675739,0.15399227
54,0.07035206,0.02440402,45.87479019,0.04974627,0.02350885,1.24986899,0.15332597
55,0.06767695,0.02238926,45.21359253,0.05082931,0.02326711,1.25289094,0.15253562
56,0.06515004,0.02057645,44.49870682,0.05188888,0.02299035,1.25582325,0.15162569
57,0.06275856,0.01894853,43.73442459,0.05292423,0.02268062,1.25866628,0.15060087
58,0.06049041,0.01748941,42.92472076,0.05393479,0.02234006,1.26142073,0.14946593
59,0.05833467,0.01618412,42.07365417,0.05492004,0.02197089,1.26408720,0.14822580
60,0.05628147,0.01501854,41.18547440,0.05587959,0.02157535,1.26666653,0.14688550
61,0.05432182,0.01397950,40.26434326,0.05681315,0.02115573,1.26915967,0.14545010
62,0.05244711,0.01305463,39.31405258,0.05772055,0.02071434,1.27156830,0.14392476
63,0.05065032,0.01223273,38.33873367,0.05860168,0.02025346,1.27389336,0.14231464
64,0.04892461,0.01150328,37.34210205,0.05945657,0.01977538,1.27613664,0.14062496
65,0.04726427,0.01085676,36.32794189,0.06028531,0.01928235,1.27829957,0.13886090
66,0.04566408,0.01028433,35.29988480,0.06108811,0.01877658,1.28038406,0.13702765
67,0.04411942,0.00977795,34.26133728,0.06186523,0.01826021,1.28239214,0.13513036
68,0.04262640,0.00933035,33.21569443,0.06261703,0.01773535,1.28432584,0.13317412
69,0.04118161,0.00893493,32.16613007,0.06334394,0.01720399,1.28618729,0.13116398
70,0.03978213,0.00858584,31.11557388,0.06404644,0.01666808,1.28797853,0.12910493
71,0.03842552,0.00827761,30.06704903,0.06472510,0.01612947,1.28970218,0.12700184
72,0.03710978,0.00800557,29.02323723,0.06538052,0.01558990,1.29136026,0.12485951
73,0.03583293,0.00776540,27.98647499,0.06601337,0.01505103,1.29295552,0.12268265
74,0.03459376,0.00755331,26.95931435,0.06662435,0.01451442,1.29449022,0.12047583
75,0.03339104,0.00736598,25.94386482,0.06721418,0.01398153,1.29596674,0.11824352
76,0.03222378,0.00720034,24.94220161,0.06778365,0.01345369,1.29738796,0.11599007
77,0.03109115,0.00705386,23.95602226,0.06833355,0.01293216,1.29875600,0.11371966
78,0.02999258,0.00692421,22.98708534,0.06886468,0.01241807,1.30007339,0.11143637
79,0.02892748,0.00680925,22.03693771,0.06937788,0.01191244,1.30134296,0.10914414
80,0.02789544,0.00670728,21.10686684,0.06987397,0.01141623,1.30256689,0.10684674
81,0.02689603,0.00661670,20.19803810,0.07035381,0.01093024,1.30374765,0.10454780
