iter,total,corr,reproj,scale_reg,tz_reg,scale,tz
0,5.85077715,5.85077715,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000
1,5.79314280,5.79187202,1.27059221,0.00002500,0.00002500,1.00501263,0.00500000
2,5.73817968,5.73320818,4.97145414,0.00010000,0.00009949,1.01005018,0.00997442
3,5.68578577,5.67487240,10.91337013,0.00022501,0.00022209,1.01511335,0.01490269
4,5.63584471,5.61697006,18.87384415,0.00040003,0.00039051,1.02020228,0.01976143
5,5.58820820,5.55961084,28.59637260,0.00062510,0.00060145,1.02531731,0.02452442
6,5.54270601,5.50291443,39.78946304,0.00090026,0.00085046,1.03045905,0.02916271
7,5.49914217,5.44701147,52.12854767,0.00122555,0.00113199,1.03562784,0.03364506
8,5.45729303,5.39202833,65.26193237,0.00160105,0.00143934,1.04082453,0.03793858
9,5.41692257,5.33810234,78.81651306,0.00202685,0.00176482,1.04604936,0.04200974
10,5.37777138,5.28535557,92.41153717,0.00250305,0.00209999,1.05130315,0.04582561
11,5.33958149,5.23390484,105.67118073,0.00302975,0.00243596,1.05658627,0.04935544
12,5.30209446,5.18384552,118.24221039,0.00360710,0.00276383,1.06189930,0.05257218
13,5.26506615,5.13524961,129.80932617,0.00423521,0.00307514,1.06724274,0.05545397
14,5.22827768,5.08816147,140.10810852,0.00491423,0.00336230,1.07261717,0.05798533
15,5.19154787,5.04259872,148.93943787,0.00564428,0.00361897,1.07802260,0.06015791
16,5.15472460,4.99854326,156.17109680,0.00642548,0.00384037,1.08345950,0.06197072
17,5.11770248,4.95595169,161.74000549,0.00725795,0.00402335,1.08892787,0.06342987
18,5.08041286,4.91475248,165.64802551,0.00814180,0.00416644,1.09442806,0.06454795
19,5.04282284,4.87485552,167.95390320,0.00907710,0.00426972,1.09995997,0.06534310
20,5.00492859,4.83615303,168.76123047,0.01006393,0.00433464,1.10552371,0.06583801
21,4.96675253,4.79852533,168.21194458,0.01110234,0.00436377,1.11111903,0.06605884
22,4.92833328,4.76184607,166.47036743,0.01219236,0.00436053,1.11674583,0.06603429
23,4.88971424,4.72597980,163.71690369,0.01333400,0.00432895,1.12240422,0.06579477
24,4.85095263,4.69079542,160.13841248,0.01452727,0.00427345,1.12809360,0.06537160
25,4.81209898,4.65615940,155.91944885,0.01577214,0.00419858,1.13381398,0.06479645
26,4.77320004,4.62193918,151.23922729,0.01706860,0.00410892,1.13956523,0.06410083
27,4.73429632,4.58800936,146.26437378,0.01841661,0.00400887,1.14534724,0.06331562
28,4.69542265,4.55425072,141.14790344,0.01981614,0.00390258,1.15115964,0.06247065
29,4.65660048,4.52054977,136.02546692,0.02126712,0.00379387,1.15700233,0.06159440
30,4.61784220,4.48679972,131.01586914,0.02276952,0.00368614,1.16287529,0.06071363
31,4.57915211,4.45290565,126.21810913,0.02432329,0.00358239,1.16877854,0.05985303
32,4.54052544,4.41878319,121.71327972,0.02592838,0.00348513,1.17471194,0.05903499
33,4.50195646,4.38435936,117.56631470,0.02758476,0.00339647,1.18067527,0.05827928
34,4.46342659,4.34957027,113.82397461,0.02929238,0.00331809,1.18666899,0.05760287
35,4.42492294,4.31437016,110.51867676,0.03105122,0.00325125,1.19269276,0.05701976
36,4.38642597,4.27871943,107.67015839,0.03286126,0.00319687,1.19874692,0.05654089
37,4.34792089,4.24259710,105.28554535,0.03472247,0.00315553,1.20483136,0.05617409
38,4.30939150,4.20598888,103.36260986,0.03663484,0.00312751,1.21094644,0.05592416
39,4.27083015,4.16889811,101.88990784,0.03859834,0.00311286,1.21709216,0.05579299
40,4.23222637,4.13133335,100.84894562,0.04061299,0.00311138,1.22326887,0.05577974
41,4.19357872,4.09331608,100.21658325,0.04267879,0.00312270,1.22947645,0.05588108
42,4.15488625,4.05487394,99.96426392,0.04479571,0.00314626,1.23571527,0.05609150
43,4.11615181,4.01604319,100.05863190,0.04696378,0.00318136,1.24198556,0.05640359
44,4.07738161,3.97686481,100.46436310,0.04918300,0.00322719,1.24828720,0.05680840
45,4.03858185,3.93738246,101.14453125,0.05145334,0.00328281,1.25462067,0.05729579
46,3.99976015,3.89764404,102.05879974,0.05377483,0.00334717,1.26098609,0.05785471
47,3.96092486,3.85769773,103.16784668,0.05614745,0.00341916,1.26738358,0.05847358
48,3.92208648,3.81759381,104.43031311,0.05857120,0.00349760,1.27381313,0.05914055
49,3.88325095,3.77738023,105.80601501,0.06104605,0.00358128,1.28027511,0.05984382
50,3.84442472,3.73710155,107.25585175,0.06357197,0.00366895,1.28676963,0.06057183
51,3.80561614,3.69680429,108.74199677,0.06614894,0.00375935,1.29329646,0.06131356
52,3.76682734,3.65652585,110.22905731,0.06877694,0.00385127,1.29985619,0.06205864
53,3.72806525,3.61630630,111.68335724,0.07145589,0.00394353,1.30644846,0.06279755
54,3.68933058,3.57617640,113.07585907,0.07418574,0.00403501,1.31307352,0.06352173
55,3.65062690,3.53616571,114.38004303,0.07696643,0.00412468,1.31973135,0.06422368
56,3.61195612,3.49629760,115.57434082,0.07979785,0.00421163,1.32642198,0.06489704
57,3.57331920,3.45659232,116.63996124,0.08267991,0.00429504,1.33314550,0.06553654
58,3.53471923,3.41706538,117.56390381,0.08561251,0.00437425,1.33990157,0.06613811
59,3.49615669,3.37772775,118.33578491,0.08859552,0.00444873,1.34669042,0.06669877
60,3.45763421,3.33858752,118.95050812,0.09162883,0.00451808,1.35351181,0.06721664
61,3.41915369,3.29964852,119.40600586,0.09471226,0.00458205,1.36036575,0.06769084
62,3.38071823,3.26091170,119.70435333,0.09784562,0.00464053,1.36725199,0.06812143
63,3.34233165,3.22237563,119.85025787,0.10102877,0.00469353,1.37417042,0.06850931
64,3.30399537,3.18403530,119.85108185,0.10426150,0.00474116,1.38112092,0.06885611
65,3.26571417,3.14588499,119.71681976,0.10754362,0.00478367,1.38810349,0.06916408
66,3.22749209,3.10791731,119.45909882,0.11087491,0.00482136,1.39511776,0.06943601
67,3.18933201,3.07012272,119.09028625,0.11425514,0.00485462,1.40216362,0.06967509
68,3.15124059,3.03249383,118.62424469,0.11768406,0.00488388,1.40924084,0.06988478
69,3.11322093,2.99501967,118.07514191,0.12116142,0.00490963,1.41634905,0.07006875
70,3.07527709,2.95769095,117.45637512,0.12468696,0.00493236,1.42348838,0.07023077
71,3.03741550,2.92050004,116.78217316,0.12826039,0.00495258,1.43065810,0.07037460
72,2.99963713,2.88343430,116.06597137,0.13188145,0.00497080,1.43785858,0.07050391
73,2.96195054,2.84649062,115.31929016,0.13554983,0.00498750,1.44508898,0.07062221
74,2.92435741,2.80965972,114.55345154,0.13926522,0.00500313,1.45234942,0.07073282
75,2.88686323,2.77293658,113.77857208,0.14302732,0.00501813,1.45963955,0.07083878
76,2.84947085,2.73631477,113.00410461,0.14683582,0.00503288,1.46695912,0.07094281
