iter,total,mask_weight,mask_raw,mask_scaled,root_orient_gvhmr_weight,root_orient_gvhmr_raw,root_orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,scale_prior_weight,scale_prior_raw,scale_prior_scaled,intersect_weight,intersect_raw,intersect_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,floor_nocontact_weight,floor_nocontact_raw,floor_nocontact_scaled,angle_weight,angle_raw,angle_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled
1,24.052433013916016,1.0,1.871126914920751e-05,1.871126914920751e-05,20.0,3.0791341698588326e-16,6.158268339717665e-15,10.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12556502223014832,0.0,500.0,0.04585282877087593,22.926414385437965,200.0,0.005630000494420528,1.1260000988841057,0.0,0.07617417722940445,0.0,0.0,0.0,0.0
2,22.665081024169922,1.0,1.7589562048669904e-05,1.7589562048669904e-05,20.0,1.4747470231668558e-06,2.9494940463337116e-05,10.0,9.99992494143953e-07,9.99992494143953e-06,25.0,9.99999883788405e-07,2.4999997094710125e-05,0.007503751875937969,0.0,0.0,0.0,0.1252363920211792,0.0,500.0,0.043162956833839417,21.58147841691971,200.0,0.005417415872216225,1.083483174443245,0.0005002501250625312,0.07613714039325714,3.8087614003630386e-05,5.002501250625313e-09,0.0,0.0
3,21.32579803466797,1.0,1.6625539501546882e-05,1.6625539501546882e-05,20.0,5.897499704587972e-06,0.00011794999409175944,10.0,3.995688075519865e-06,3.9956880755198654e-05,25.0,4.0001978049986064e-06,0.00010000494512496516,0.015007503751875938,0.0,0.0,0.0,0.12536287307739258,0.0,500.0,0.04056455194950104,20.28227597475052,200.0,0.005215849727392197,1.0431699454784393,0.0010005002501250625,0.0760992020368576,7.613727067219369e-05,1.0005002501250626e-08,0.0,0.0
4,20.035110473632812,1.0,1.5869434719206765e-05,1.5869434719206765e-05,20.0,1.3265887901070528e-05,0.00026531775802141055,10.0,8.967609574028756e-06,8.967609574028756e-05,25.0,8.997358236229047e-06,0.00022493395590572618,0.022511255627813906,0.0,0.0,0.0,0.12640932202339172,0.0,500.0,0.038058970123529434,19.029485061764717,200.0,0.0050245788879692554,1.004915777593851,0.0015007503751875938,0.07606031000614166,0.0001141475387786018,1.500750375187594e-08,0.0,0.0
5,18.795154571533203,1.0,1.5303905456676148e-05,1.5303905456676148e-05,20.0,2.356765980948694e-05,0.0004713531961897388,10.0,1.5905283362371847e-05,0.00015905283362371847,25.0,1.598470589669887e-05,0.00039961764741747174,0.030015007503751877,0.0,0.0,0.0,0.12597553431987762,0.0,500.0,0.035651907324790955,17.825953662395477,200.0,0.004840007983148098,0.9680015966296196,0.002001000500250125,0.07601888477802277,0.00015211382646928016,2.0010005002501252e-08,0.0,0.0
6,17.606637954711914,1.0,1.4964123693061993e-05,1.4964123693061993e-05,20.0,3.6784433177672327e-05,0.0007356886635534465,10.0,2.4762852262938395e-05,0.00024762852262938395,25.0,2.4926543119363487e-05,0.0006231635779840872,0.03751875937968985,0.0,0.0,0.0,0.12590236961841583,0.0,500.0,0.03334447741508484,16.67223870754242,200.0,0.0046629346907138824,0.9325869381427765,0.0025012506253126563,0.07596896588802338,0.00019001742343177432,2.5012506253126563e-08,0.0,0.0
7,16.468671798706055,1.0,1.478869489801582e-05,1.478869489801582e-05,20.0,5.289431646815501e-05,0.0010578863293631002,10.0,3.549661414581351e-05,0.0003549661414581351,25.0,3.578053292585537e-05,0.0008945133231463842,0.04502251125562781,0.0,0.0,0.0,0.12535084784030914,0.0,500.0,0.031134266406297684,15.567133203148842,200.0,0.004494949243962765,0.898989848792553,0.0030015007503751876,0.0759143978357315,0.00022785712206822864,3.001500750375188e-08,0.0,0.0
8,15.38232707977295,1.0,1.4722747437190264e-05,1.4722747437190264e-05,20.0,7.185143476817757e-05,0.0014370286953635514,10.0,4.7967525460990146e-05,0.00047967525460990146,25.0,4.848295793635771e-05,0.0012120739484089427,0.05252626313156578,0.0,0.0,0.0,0.12578029930591583,0.0,500.0,0.0290241539478302,14.5120769739151,200.0,0.004334206227213144,0.8668412454426289,0.003501750875437719,0.07583766430616379,0.0002655646073752609,3.501750875437719e-08,0.0,0.0
9,14.3480224609375,1.0,1.477792193327332e-05,1.477792193327332e-05,20.0,9.359628893435001e-05,0.0018719257786870003,10.0,6.210133142303675e-05,0.0006210133142303675,25.0,6.293136539170519e-05,0.0015732841347926296,0.060030015007503754,0.0,0.0,0.0,0.12531284987926483,0.0,500.0,0.027014710009098053,13.507355004549026,200.0,0.004181417636573315,0.8362835273146629,0.00400200100050025,0.0757383331656456,0.00030310488510513497,4.0020010005002504e-08,0.0,0.0
10,13.365757942199707,1.0,1.49233965203166e-05,1.49233965203166e-05,20.0,0.00011807018745457754,0.0023614037490915507,10.0,7.781357999192551e-05,0.0007781357999192551,25.0,7.897694013081491e-05,0.0019744235032703727,0.06753376688344172,0.0,0.0,0.0,0.12504243850708008,0.0,500.0,0.025105316191911697,12.552658095955849,200.0,0.004038150887936354,0.8076301775872707,0.004502251125562781,0.07561774551868439,0.00034045007987401675,4.502251125562782e-08,0.0,0.0
